30
A
AD
A,9,143
B,158,170
C,85,8
D,286,23
E,436,19
F,657,210
G,611,19
H,812,3
I,1000,47
J,1156,125
K,171,378
L,388,204
M,312,355
N,514,299
O,830,243
P,603,465
Q,1019,344
R,779,515
S,922,518
T,300,500
U,466,444
V,393,659
W,571,725
X,699,607
Y,820,696
Z,1010,706
AA,1162,565
AB,70,513
AC,221,704
AD,21,692
50
A,B,44
A,K,28
A,AB,65
B,C,53
B,K,18
C,D,42
C,L,3
D,E,46
D,M,65
D,K,6
E,F,31
E,L,7
F,G,37
F,L,19
F,P,38
G,H,34
G,N,61
H,I,25
H,O,2
I,J,8
I,R,19
J,AA,11
J,Q,5
K,L,2
K,AB,57
L,M,40
L,N,8
M,N,21
M,T,53
N,O,30
N,Q,49
O,P,28
O,W,60
P,Q,56
P,V,48
Q,R,19
R,S,29
S,AA,68
S,Z,32
T,U,27
T,AC,9
U,V,40
V,W,40
W,X,16
X,Y,60
Y,Z,15
Z,AA,52
AB,AC,83
AC,AD,44
AC,X,62
